UTC Time (Format YYYY-MM-DDTHH:MM:SS.sss),Decimal Latitude,Decimal Longitude,Altitude above Start Point
2023-09-13T11:09:42.200,50.90934,6.227371,,0.01
2023-09-13T11:09:43.200,50.90934,6.227371,,0.05
2023-09-13T11:09:44.200,50.90934,6.227371,,0.1
2023-09-13T11:09:45.200,50.90934,6.227375,,0.62
2023-09-13T11:09:46.200,50.90935,6.227376,,1.98
2023-09-13T11:09:47.200,50.90935,6.227367,,3.03
2023-09-13T11:09:48.200,50.90934,6.227363,,3.43
2023-09-13T11:09:49.200,50.90932,6.22741,,4.49
2023-09-13T11:09:50.200,50.90934,6.227415,,6.49
2023-09-13T11:09:51.200,50.90935,6.227387,,9.16
2023-09-13T11:09:52.200,50.90935,6.227368,,11.84
2023-09-13T11:09:53.200,50.90934,6.227361,,14.41
2023-09-13T11:09:54.200,50.90934,6.227358,,16.96
2023-09-13T11:09:55.200,50.90934,6.227359,,19.54
2023-09-13T11:09:56.200,50.90934,6.227361,,22.1
2023-09-13T11:09:57.200,50.90934,6.22736,,24.58
2023-09-13T11:09:58.200,50.90934,6.227358,,27.14
2023-09-13T11:09:59.200,50.90934,6.227357,,29.72
2023-09-13T11:10:00.200,50.90934,6.227356,,32.19
2023-09-13T11:10:01.200,50.90934,6.227355,,33.87
2023-09-13T11:10:02.200,50.90934,6.227356,,35.01
2023-09-13T11:10:03.200,50.90935,6.227357,,35.64
2023-09-13T11:10:04.200,50.90935,6.227357,,35.87
2023-09-13T11:10:05.200,50.90935,6.227355,,35.48
2023-09-13T11:10:06.200,50.90936,6.227353,,35.26
2023-09-13T11:10:07.200,50.90938,6.227352,,35.07
2023-09-13T11:10:08.200,50.90943,6.227345,,35.0
2023-09-13T11:10:09.200,50.90949,6.227328,,34.7
2023-09-13T11:10:10.200,50.90957,6.227301,,34.81
2023-09-13T11:10:11.200,50.90966,6.227273,,34.85
2023-09-13T11:10:12.400,50.90975,6.227247,,35.14
2023-09-13T11:10:13.400,50.90984,6.227223,,35.39
2023-09-13T11:10:14.200,50.90993,6.2272,,35.59
2023-09-13T11:10:15.400,50.91002,6.227175,,35.54
2023-09-13T11:10:16.400,50.91011,6.227152,,35.5
2023-09-13T11:10:17.400,50.91019,6.227128,,35.81
2023-09-13T11:10:18.400,50.91028,6.227103,,36.2
2023-09-13T11:10:19.400,50.91037,6.22708,,36.06
2023-09-13T11:10:20.400,50.91046,6.227057,,35.68
2023-09-13T11:10:21.400,50.91055,6.227035,,34.75
2023-09-13T11:10:22.400,50.91064,6.227014,,34.33
2023-09-13T11:10:23.400,50.91072,6.226988,,34.44
2023-09-13T11:10:24.400,50.91082,6.226962,,34.74
2023-09-13T11:10:25.400,50.9109,6.226938,,35.03
2023-09-13T11:10:26.400,50.911,6.226915,,35.14
2023-09-13T11:10:27.400,50.91108,6.226891,,35.16
2023-09-13T11:10:28.400,50.91117,6.226864,,35.4
2023-09-13T11:10:29.400,50.91126,6.226839,,35.5
2023-09-13T11:10:30.400,50.91135,6.226816,,35.46
2023-09-13T11:10:31.400,50.91144,6.226794,,35.0
2023-09-13T11:10:32.400,50.91153,6.22677,,34.88
2023-09-13T11:10:33.400,50.91162,6.226744,,35.08
2023-09-13T11:10:34.400,50.91171,6.226719,,35.21
2023-09-13T11:10:35.400,50.9118,6.226695,,35.16
2023-09-13T11:10:36.600,50.91189,6.22667,,35.14
2023-09-13T11:10:37.400,50.91198,6.226647,,35.13
2023-09-13T11:10:38.400,50.91206,6.226623,,35.06
2023-09-13T11:10:39.600,50.91216,6.226598,,35.0
2023-09-13T11:10:40.600,50.91225,6.226573,,35.09
2023-09-13T11:10:41.600,50.91233,6.22655,,34.86
2023-09-13T11:10:42.600,50.91241,6.226528,,34.98
2023-09-13T11:10:43.600,50.91249,6.226509,,35.11
2023-09-13T11:10:44.600,50.91253,6.226499,,35.21
2023-09-13T11:10:45.600,50.91256,6.226494,,35.58
2023-09-13T11:10:46.600,50.91256,6.226492,,35.3
2023-09-13T11:10:47.600,50.91256,6.226491,,35.25
2023-09-13T11:10:48.600,50.91256,6.22649,,35.21
2023-09-13T11:10:49.600,50.91256,6.226489,,34.99
2023-09-13T11:10:50.600,50.91253,6.226488,,34.3
2023-09-13T11:10:51.600,50.91249,6.226486,,34.08
2023-09-13T11:10:52.600,50.91242,6.22648,,34.14
2023-09-13T11:10:53.600,50.91233,6.226473,,34.29
2023-09-13T11:10:54.600,50.91224,6.22647,,34.55
2023-09-13T11:10:55.600,50.91213,6.226466,,34.8
2023-09-13T11:10:56.600,50.91201,6.226459,,35.04
2023-09-13T11:10:57.600,50.9119,6.226449,,35.2
2023-09-13T11:10:58.600,50.91179,6.226442,,35.45
2023-09-13T11:10:59.600,50.91167,6.226434,,35.35
2023-09-13T11:11:00.600,50.91156,6.226425,,35.66
